,Year,CU,TCRC,SP2,logTCRC,logSP2,logCU
Daye,2015,0.7843333333333333,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.10549932754364116
Daye,2016,0.7583333333333333,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,-0.12013985372653124
Daye,2017,0.7666666666666667,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,-0.11539341870206953
Duobaoshan Expansion,1992,,987.505982760015,,2.9945397354598042,,
Duobaoshan Expansion,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Duobaoshan Expansion,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Duobaoshan Expansion,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Duobaoshan Expansion,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Duobaoshan Expansion,1997,,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,
Duobaoshan Expansion,1998,,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,
Duobaoshan Expansion,1999,,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,
Duobaoshan Expansion,2000,,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,
Duobaoshan Expansion,2001,,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,
Duobaoshan Expansion,2002,,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,
Duobaoshan Expansion,2003,,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,
Duobaoshan Expansion,2004,,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,
Duobaoshan Expansion,2005,,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,
Duobaoshan Expansion,2006,,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,
Duobaoshan Expansion,2007,,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,
Duobaoshan Expansion,2008,,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,
Duobaoshan Expansion,2009,1.0,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,0.0
Duobaoshan Expansion,2010,1.0,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,0.0
Duobaoshan Expansion,2011,1.0,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,0.0
Duobaoshan Expansion,2012,1.0,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,0.0
Duobaoshan Expansion,2013,1.0,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,0.0
Duobaoshan Expansion,2014,1.0,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,0.0
Duobaoshan Expansion,2015,1.0,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,0.0
Duobaoshan Expansion,2016,1.0,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,0.0
Duobaoshan Expansion,2017,1.0,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,0.0
Fangtai,1992,,987.505982760015,,2.9945397354598042,,
Fangtai,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Fangtai,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Fangtai,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Fangtai,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Fangtai,1997,,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,
Fangtai,1998,,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,
Fangtai,1999,,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,
Fangtai,2000,,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,
Fangtai,2001,,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,
Fangtai,2002,,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,
Fangtai,2003,,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,
Fangtai,2004,,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,
Fangtai,2005,,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,
Fangtai,2006,,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,
Fangtai,2007,,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,
Fangtai,2008,,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,
Fangtai,2009,,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,
Fangtai,2010,,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,
Fangtai,2011,,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,
Fangtai,2012,,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,
Fangtai,2013,,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,
Fangtai,2014,1.0,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,0.0
Fangtai,2015,1.0,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,0.0
Fangtai,2016,1.0,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,0.0
Fangtai,2017,1.0,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,0.0
Gejiu,1992,,987.505982760015,,2.9945397354598042,,
Gejiu,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Gejiu,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Gejiu,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Gejiu,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Gejiu,1997,,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,
Gejiu,1998,,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,
Gejiu,1999,,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,
Gejiu,2000,,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,
Gejiu,2001,,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,
Gejiu,2002,,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,
Gejiu,2003,,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,
Gejiu,2004,,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,
Gejiu,2005,,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,
Gejiu,2006,,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,
Gejiu,2007,,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,
Gejiu,2008,,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,
Gejiu,2009,,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,
Gejiu,2010,,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,
Gejiu,2011,,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,
Gejiu,2012,,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,
Gejiu,2013,0.68952,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,-0.1614531322964465
Gejiu,2014,0.7306999999999999,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.13626089265478294
Gejiu,2015,0.9,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.045757490560675115
Gejiu,2016,1.0,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,0.0
Gejiu,2017,1.0,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,0.0
Guangzhou Zhujiang,1992,,987.505982760015,,2.9945397354598042,,
Guangzhou Zhujiang,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Guangzhou Zhujiang,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Guangzhou Zhujiang,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Guangzhou Zhujiang,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Guangzhou Zhujiang,1997,1.0,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,0.0
Guangzhou Zhujiang,1998,1.0,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,0.0
Guangzhou Zhujiang,1999,0.8266666666666667,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,-0.08266957389344617
Guangzhou Zhujiang,2000,1.4801333333333335,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,0.17030083926164785
Guangzhou Zhujiang,2001,0.64585,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,-0.18986833608639322
Guangzhou Zhujiang,2002,0.86,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,-0.06550154875643228
Guangzhou Zhujiang,2003,0.9301,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,-0.031470355625160436
Guangzhou Zhujiang,2004,1.000391304347826,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,0.000169908078288326
Guangzhou Zhujiang,2005,0.9725384615384616,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,-0.01209321436871131
Guangzhou Zhujiang,2006,0.9815925925925926,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,-0.00806872759187171
Guangzhou Zhujiang,2007,0.9148148148148147,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,-0.03866681089932161
Guangzhou Zhujiang,2008,1.0222222222222224,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,0.009545317906230456
Guangzhou Zhujiang,2009,0.7777777777777778,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,-0.10914446942506803
Guangzhou Zhujiang,2010,0.8888888888888888,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,-0.05115252244738131
Guangzhou Zhujiang,2011,0.9814814814814815,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,-0.00811789022217945
