,Year,CU,TCRC,SP2
Hes,2001,0.4666666666666667,585.971062800398,398.2247760378723
Hes,2002,0.4666666666666667,528.7539362675177,358.9698750922221
Hes,2003,0.2,437.7020239493989,303.6604734259495
Hes,2005,0.8333333333333334,605.9993462162437,702.623222632848
Hes,2006,1.0,654.0771892519688,1222.9212106889845
Hes,2007,1.0,400.97019232272004,1066.9176514175442
Hes,2008,1.0,289.6092544923923,870.8586548308886
Mkek,1992,0.5,987.505982760015,
Rabak,1992,0.6166666666666667,987.505982760015,
Rabak,1993,0.5833333333333334,959.1938700091315,643.4263428857876
Rabak,1994,0.4766666666666667,841.3371092476353,710.6444034910924
Rabak,1995,0.4,659.2490789967804,1003.1611059604347
Rabak,1996,0.6,839.2436749351455,694.3183006954018
Rabak,1997,0.45,906.3963774982449,686.8798854471715
Samsun,2011,1.8277777777777777,344.9625421973603,1184.76825799962
Samsun,2012,1.3533333333333333,377.1973518924253,910.701977977671
Samsun,2013,0.9066666666666666,416.49708654295705,620.9346932352228
Samsun,2014,0.9111111111111111,538.6579380491202,637.6917506905429
Samsun,2015,1.0888888888888888,625.7403040522361,626.0847314924467
Samsun,2016,1.0,562.2139195262345,526.1823495711269
Samsun,2017,1.0,523.0624830203443,756.6289598528965
Pancomm,2002,0.16933333333333334,528.7539362675177,358.9698750922221
Pancomm,2003,0.48000000000000004,437.7020239493989,303.6604734259495
Pancomm,2004,0.7142857142857143,314.71018578087495,642.7808068011332
Pancomm,2005,0.8571428571428571,605.9993462162437,702.623222632848
Pancomm,2006,0.8571428571428571,654.0771892519688,1222.9212106889845
Pancomm,2007,0.5571428571428572,400.97019232272004,1066.9176514175442
Pancomm,2008,0.62,289.6092544923923,870.8586548308886
Pancomm,2009,0.5742857142857143,484.40437246063215,733.937472228944
Pancomm,2010,0.7885714285714286,295.48463456469347,965.4771784642735
Pancomm,2011,0.7142857142857143,344.9625421973603,1184.76825799962
Pancomm,2012,0.7714285714285715,377.1973518924253,910.701977977671
Pancomm,2013,0.5714285714285714,416.49708654295705,620.9346932352228
Pancomm,2014,0.5714285714285714,538.6579380491202,637.6917506905429
Pancomm,2015,0.5714285714285714,625.7403040522361,626.0847314924467
Pancomm,2016,0.5714285714285714,562.2139195262345,526.1823495711269
Pancomm,2017,0.5714285714285714,523.0624830203443,756.6289598528965
IMI,1992,0.8461538461538461,987.505982760015,
IMI,1993,0.8957307692307693,959.1938700091315,643.4263428857876
IMI,1994,0.8973846153846154,841.3371092476353,710.6444034910924
IMI,1995,1.0,659.2490789967804,1003.1611059604347
IMI,1996,0.9932456140350877,839.2436749351455,694.3183006954018
IMI,1997,1.023728813559322,906.3963774982449,686.8798854471715
IMI,1998,0.9114237288135594,820.28826929231,498.08672926585473
IMI,1999,0.9145454545454544,557.9950901626388,452.20109928406646
Dahej,1997,0.075,906.3963774982449,686.8798854471715
Dahej,1998,0.28,820.28826929231,498.08672926585473
Dahej,1999,0.98,557.9950901626388,452.20109928406646
Dahej,2000,0.921025,555.4588259029698,533.8081174976221
Dahej,2001,1.0,585.971062800398,398.2247760378723
Dahej,2002,1.0094666666666667,528.7539362675177,358.9698750922221
Dahej,2003,0.872975845410628,437.7020239493989,303.6604734259495
Dahej,2004,0.84,314.71018578087495,642.7808068011332
Dahej,2005,0.5333333333333333,605.9993462162437,702.623222632848
Dahej,2006,0.5514,654.0771892519688,1222.9212106889845
Dahej,2007,0.6386000000000001,400.97019232272004,1066.9176514175442
Dahej,2008,0.6,289.6092544923923,870.8586548308886
Dahej,2009,0.691144,484.40437246063215,733.937472228944
Dahej,2010,0.652,295.48463456469347,965.4771784642735
Dahej,2011,0.642,344.9625421973603,1184.76825799962
Dahej,2012,0.6489400000000001,377.1973518924253,910.701977977671
Dahej,2013,0.638,416.49708654295705,620.9346932352228
Dahej,2014,0.764,538.6579380491202,637.6917506905429
Dahej,2015,0.79,625.7403040522361,626.0847314924467
Dahej,2016,0.79,562.2139195262345,526.1823495711269
Dahej,2017,0.79,523.0624830203443,756.6289598528965
Ghatsila,1992,0.9411764705882353,987.505982760015,
Ghatsila,1993,0.9705882352941176,959.1938700091315,643.4263428857876
Ghatsila,1994,0.9705882352941176,841.3371092476353,710.6444034910924
Ghatsila,1995,0.6823529411764706,659.2490789967804,1003.1611059604347
Ghatsila,1996,1.076470588235294,839.2436749351455,694.3183006954018
Ghatsila,1997,0.9588235294117647,906.3963774982449,686.8798854471715
Ghatsila,1998,0.8352941176470587,820.28826929231,498.08672926585473
Ghatsila,1999,0.7781764705882352,557.9950901626388,452.20109928406646
Ghatsila,2000,0.9713684210526315,555.4588259029698,533.8081174976221
Ghatsila,2001,1.0338947368421052,585.971062800398,398.2247760378723
Ghatsila,2002,0.631578947368421,528.7539362675177,358.9698750922221
Ghatsila,2003,0.8888888888888888,437.7020239493989,303.6604734259495
Ghatsila,2004,1.875,314.71018578087495,642.7808068011332
Ghatsila,2005,0.7894736842105263,605.9993462162437,702.623222632848
Ghatsila,2006,0.7368421052631579,654.0771892519688,1222.9212106889845
Ghatsila,2007,0.8947368421052632,400.97019232272004,1066.9176514175442
Ghatsila,2008,0.8947368421052632,289.6092544923923,870.8586548308886
Ghatsila,2009,0.880157894736842,484.40437246063215,733.937472228944
Ghatsila,2010,0.8947368421052632,295.48463456469347,965.4771784642735
Ghatsila,2011,0.8947368421052632,344.9625421973603,1184.76825799962
Ghatsila,2012,0.8947368421052632,377.1973518924253,910.701977977671
Ghatsila,2013,0.8947368421052632,416.49708654295705,620.9346932352228
Ghatsila,2014,0.8947368421052632,538.6579380491202,637.6917506905429
Ghatsila,2015,0.8947368421052632,625.7403040522361,626.0847314924467
Ghatsila,2016,0.8947368421052632,562.2139195262345,526.1823495711269
Ghatsila,2017,0.8947368421052632,523.0624830203443,756.6289598528965
Khetri,1992,0.909375,987.505982760015,
Khetri,1993,0.625,959.1938700091315,643.4263428857876
Khetri,1994,1.015625,841.3371092476353,710.6444034910924
Khetri,1995,0.875,659.2490789967804,1003.1611059604347
Khetri,1996,0.65625,839.2436749351455,694.3183006954018
Khetri,1997,0.8125,906.3963774982449,686.8798854471715
Khetri,1998,0.8125,820.28826929231,498.08672926585473
Khetri,1999,0.6615,557.9950901626388,452.20109928406646
Khetri,2000,0.68525,555.4588259029698,533.8081174976221
Khetri,2001,0.72934375,585.971062800398,398.2247760378723
Khetri,2002,0.75,528.7539362675177,358.9698750922221
Khetri,2003,0.6875,437.7020239493989,303.6604734259495
Khetri,2004,0.7165625,314.71018578087495,642.7808068011332
Khetri,2005,0.625,605.9993462162437,702.623222632848
Khetri,2006,0.59375,654.0771892519688,1222.9212106889845
Khetri,2007,0.71875,400.97019232272004,1066.9176514175442
Khetri,2008,0.71875,289.6092544923923,870.8586548308886
