,Year,Secondary ratio,CU,SR,TCRC,SP2
Bakirsan,1996,0,0.34444444444444444,1.0,839.2436749351455,694.3183006954018
Bakirsan,1997,0,0.5555555555555556,1.0,906.3963774982449,686.8798854471715
Bakirsan,1998,0,0.2888888888888889,,820.28826929231,498.08672926585473
Bakirsan,1999,0,0.3111111111111111,0.32142857142857145,557.9950901626388,452.20109928406646
Bakirsan,2000,0,0.4444444444444444,0.875,555.4588259029698,533.8081174976221
Bakirsan,2001,0,0.4444444444444444,0.8,585.971062800398,398.2247760378723
Bakirsan,2002,0,0.4444444444444444,0.95,528.7539362675177,358.9698750922221
Bakirsan,2003,0,0.4444444444444444,1.0,437.7020239493989,303.6604734259495
Bakirsan,2004,0,0.5555555555555556,1.0,314.71018578087495,642.7808068011332
Bakirsan,2005,0,0.6111111111111112,0.45454545454545453,605.9993462162437,702.623222632848
Bakirsan,2006,0,0.6666666666666666,0.5,654.0771892519688,1222.9212106889845
Bakirsan,2007,0,0.6666666666666666,0.5,400.97019232272004,1066.9176514175442
Bakirsan,2008,0,0.6666666666666666,0.5,289.6092544923923,870.8586548308886
Bakirsan,2009,0,0.2777777777777778,1.0,484.40437246063215,733.937472228944
Bakirsan,2010,0,0.3888888888888889,1.0,295.48463456469347,965.4771784642735
Bakirsan,2011,0,0.3888888888888889,1.0,344.9625421973603,1184.76825799962
Bakirsan,2012,0,0.3888888888888889,1.0,377.1973518924253,910.701977977671
Bakirsan,2013,0,0.3888888888888889,1.0,416.49708654295705,620.9346932352228
Bakirsan,2014,0,0.3888888888888889,1.0,538.6579380491202,637.6917506905429
Bakirsan,2015,0,0.3888888888888889,1.0,625.7403040522361,626.0847314924467
Bakirsan,2016,0,0.3888888888888889,1.0,562.2139195262345,526.1823495711269
Bakirsan,2017,0,0.3888888888888889,1.0,523.0624830203443,756.6289598528965
Sarkuysan,1992,0,1.0,0.47619047619047616,987.505982760015,
Sarkuysan,1993,0,0.9285714285714286,0.39999999999999997,959.1938700091315,643.4263428857876
Sarkuysan,1994,0,0.7233333333333333,0.3087557603686636,841.3371092476353,710.6444034910924
Sarkuysan,1995,0,0.7142857142857143,0.254,659.2490789967804,1003.1611059604347
Sarkuysan,1996,0,0.7228571428571429,0.16798418972332016,839.2436749351455,694.3183006954018
Sarkuysan,1997,0,0.8,0.19642857142857142,906.3963774982449,686.8798854471715
Sarkuysan,1998,0,0.7985714285714286,0.4794275491949911,820.28826929231,498.08672926585473
Sarkuysan,1999,0,0.51,0.5014005602240895,557.9950901626388,452.20109928406646
Sarkuysan,2000,0,0.5285714285714286,0.4810810810810811,555.4588259029698,533.8081174976221
Sarkuysan,2001,0,0.42857142857142855,0.11,585.971062800398,398.2247760378723
Sarkuysan,2002,0,0.6428571428571429,0.5488888888888889,528.7539362675177,358.9698750922221
Sarkuysan,2003,0,0.7857142857142857,0.6909090909090909,437.7020239493989,303.6604734259495
Sarkuysan,2004,0,0.7142857142857143,0.41,314.71018578087495,642.7808068011332
Sarkuysan,2005,0,1.0,0.06142857142857142,605.9993462162437,702.623222632848
Sarkuysan,2006,0,1.0,0.19857142857142857,654.0771892519688,1222.9212106889845
Sarkuysan,2007,0,0.8285714285714286,0.41379310344827586,400.97019232272004,1066.9176514175442
Sarkuysan,2008,0,0.7857142857142857,0.4,289.6092544923923,870.8586548308886
Sarkuysan,2009,0,0.38571428571428573,0.8925925925925926,484.40437246063215,733.937472228944
Sarkuysan,2010,0,0.44285714285714284,0.9612903225806452,295.48463456469347,965.4771784642735
Sarkuysan,2011,0,0.6642857142857143,1.0,344.9625421973603,1184.76825799962
Sarkuysan,2012,0,0.5571428571428572,1.0,377.1973518924253,910.701977977671
Sarkuysan,2013,0,0.62,1.0,416.49708654295705,620.9346932352228
Sarkuysan,2014,0,0.6142857142857143,1.0,538.6579380491202,637.6917506905429
Sarkuysan,2015,0,0.5,1.0,625.7403040522361,626.0847314924467
Sarkuysan,2016,0,0.6428571428571429,1.0,562.2139195262345,526.1823495711269
Sarkuysan,2017,0,0.6428571428571429,1.0,523.0624830203443,756.6289598528965
Hungnam,1992,0,0.7,0.2857142857142857,987.505982760015,
Hungnam,1993,0,0.725,0.20689655172413793,959.1938700091315,643.4263428857876
Hungnam,1994,0,0.75,0.3333333333333333,841.3371092476353,710.6444034910924
Hungnam,1995,0,0.75,0.4666666666666667,659.2490789967804,1003.1611059604347
Hungnam,1996,0,0.75,0.5,839.2436749351455,694.3183006954018
Hungnam,1997,0,0.75,0.5,906.3963774982449,686.8798854471715
Hungnam,1998,0,0.75,0.5,820.28826929231,498.08672926585473
Hungnam,1999,0,0.75,0.5,557.9950901626388,452.20109928406646
Hungnam,2000,0,0.75,0.5,555.4588259029698,533.8081174976221
Hungnam,2001,0,0.75,0.5,585.971062800398,398.2247760378723
Hungnam,2002,0,0.75,0.5,528.7539362675177,358.9698750922221
Hungnam,2003,0,0.75,0.5,437.7020239493989,303.6604734259495
Hungnam,2004,0,0.75,0.5,314.71018578087495,642.7808068011332
Hungnam,2005,0,0.75,0.5,605.9993462162437,702.623222632848
Hungnam,2006,0,0.75,0.5,654.0771892519688,1222.9212106889845
Hungnam,2007,0,0.75,0.5,400.97019232272004,1066.9176514175442
Hungnam,2008,0,0.75,0.5,289.6092544923923,870.8586548308886
Hungnam,2009,0,0.75,0.5,484.40437246063215,733.937472228944
Hungnam,2010,0,0.75,0.5,295.48463456469347,965.4771784642735
Hungnam,2011,0,0.5,0.25,344.9625421973603,1184.76825799962
Hungnam,2012,0,0.375,,377.1973518924253,910.701977977671
Hungnam,2013,0,0.375,,416.49708654295705,620.9346932352228
Hungnam,2014,0,0.375,,538.6579380491202,637.6917506905429
Hungnam,2015,0,0.375,,625.7403040522361,626.0847314924467
Hungnam,2016,0,0.375,,562.2139195262345,526.1823495711269
Hungnam,2017,0,0.375,,523.0624830203443,756.6289598528965
Onsan Zinc (SxEw),1992,0,0.7333333333333334,1.0,987.505982760015,
Onsan Zinc (SxEw),1993,0,0.7333333333333334,1.0,959.1938700091315,643.4263428857876
Onsan Zinc (SxEw),1994,0,0.7333333333333334,1.0,841.3371092476353,710.6444034910924
Onsan Zinc (SxEw),1995,0,1.0,1.0,659.2490789967804,1003.1611059604347
Onsan Zinc (SxEw),1996,0,1.0,1.0,839.2436749351455,694.3183006954018
Onsan Zinc (SxEw),1997,0,1.0,1.0,906.3963774982449,686.8798854471715
Onsan Zinc (SxEw),1998,0,1.0,1.0,820.28826929231,498.08672926585473
Onsan Zinc (SxEw),1999,0,1.0,1.0,557.9950901626388,452.20109928406646
Onsan Zinc (SxEw),2000,0,1.0,1.0,555.4588259029698,533.8081174976221
