,Year,Secondary ratio,CU,SR,TCRC,SP2
Changzhou,2001,0,,,585.971062800398,398.2247760378723
Changzhou,2002,0,,,528.7539362675177,358.9698750922221
Changzhou,2003,0,,,437.7020239493989,303.6604734259495
Changzhou,2004,0,,,314.71018578087495,642.7808068011332
Changzhou,2005,0,,,605.9993462162437,702.623222632848
Changzhou,2006,0,,,654.0771892519688,1222.9212106889845
Changzhou,2007,0,,,400.97019232272004,1066.9176514175442
Changzhou,2008,0,,,289.6092544923923,870.8586548308886
Changzhou,2009,0,,,484.40437246063215,733.937472228944
Changzhou,2010,0,,,295.48463456469347,965.4771784642735
Changzhou,2011,0,,,344.9625421973603,1184.76825799962
Changzhou,2012,0,,,377.1973518924253,910.701977977671
Changzhou,2013,0,,,416.49708654295705,620.9346932352228
Changzhou,2014,0,,,538.6579380491202,637.6917506905429
Changzhou,2015,0,,,625.7403040522361,626.0847314924467
Changzhou,2016,0,,,562.2139195262345,526.1823495711269
Changzhou,2017,0,,,523.0624830203443,756.6289598528965
Chengdu,1992,0,0.9,1.0,987.505982760015,
Chengdu,1993,0,0.9,1.0,959.1938700091315,643.4263428857876
Chengdu,1994,0,1.0,1.0,841.3371092476353,710.6444034910924
Chengdu,1995,0,1.0,1.0,659.2490789967804,1003.1611059604347
Chengdu,1996,0,0.82,1.0,839.2436749351455,694.3183006954018
Chengdu,1997,0,1.0,1.0,906.3963774982449,686.8798854471715
Chengdu,1998,0,0.9415,1.0,820.28826929231,498.08672926585473
Chengdu,1999,0,0.502,1.0,557.9950901626388,452.20109928406646
Chengdu,2000,0,0.478,1.0,555.4588259029698,533.8081174976221
Chengdu,2001,0,0.25,1.0,585.971062800398,398.2247760378723
Chengdu,2002,0,0.2,1.0,528.7539362675177,358.9698750922221
Chengdu,2003,0,,,437.7020239493989,303.6604734259495
Chengdu,2004,0,,,314.71018578087495,642.7808068011332
Chengdu,2005,0,,,605.9993462162437,702.623222632848
Chengdu,2006,0,,,654.0771892519688,1222.9212106889845
Chengdu,2007,0,,,400.97019232272004,1066.9176514175442
Chengdu,2008,0,,,289.6092544923923,870.8586548308886
Chengdu,2009,0,,,484.40437246063215,733.937472228944
Chengdu,2010,0,,,295.48463456469347,965.4771784642735
Chengdu,2011,0,,,344.9625421973603,1184.76825799962
Chengdu,2012,0,,,377.1973518924253,910.701977977671
Chengdu,2013,0,,,416.49708654295705,620.9346932352228
Chengdu,2014,0,,,538.6579380491202,637.6917506905429
Chengdu,2015,0,,,625.7403040522361,626.0847314924467
Chengdu,2016,0,,,562.2139195262345,526.1823495711269
Chengdu,2017,0,,,523.0624830203443,756.6289598528965
China Others,1992,0,0.9111111111111111,0.9609756097560975,987.505982760015,
China Others,1993,0,0.9875,0.9367088607594937,959.1938700091315,643.4263428857876
China Others,1994,0,0.805,0.8602484472049688,841.3371092476353,710.6444034910924
China Others,1995,0,0.996896551724138,0.7478381182981666,659.2490789967804,1003.1611059604347
China Others,1996,0,1.0192156862745096,0.6156213928434013,839.2436749351455,694.3183006954018
China Others,1997,0,1.015897435897436,0.6400807672892479,906.3963774982449,686.8798854471715
China Others,1998,0,0.8555555555555555,0.7229437229437229,820.28826929231,498.08672926585473
China Others,1999,0,0.9496296296296295,0.14274570982839316,557.9950901626388,452.20109928406646
China Others,2000,0,1.0799999999999998,0.0376984126984127,555.4588259029698,533.8081174976221
China Others,2001,0,1.002857142857143,0.1987179487179487,585.971062800398,398.2247760378723
China Others,2002,0,1.1,0.3616883116883117,528.7539362675177,358.9698750922221
China Others,2003,0,0.965,0.29311621021465584,437.7020239493989,303.6604734259495
China Others,2004,0,0.9942307692307693,0.569825918762089,314.71018578087495,642.7808068011332
China Others,2005,0,0.693076923076923,0.2458379578246393,605.9993462162437,702.623222632848
China Others,2006,0,0.7309615384615386,0.3167587476979742,654.0771892519688,1222.9212106889845
China Others,2007,0,0.8556153846153847,0.4088824957295693,400.97019232272004,1066.9176514175442
China Others,2008,0,0.9064406779661016,0.3111443530291698,289.6092544923923,870.8586548308886
China Others,2009,0,0.9252941176470589,0.6516211061665607,484.40437246063215,733.937472228944
China Others,2010,0,0.9975510204081632,0.7823240589198035,295.48463456469347,965.4771784642735
China Others,2011,0,0.9926881720430109,0.5212305025996533,344.9625421973603,1184.76825799962
China Others,2012,0,1.02,0.44601937160406335,377.1973518924253,910.701977977671
China Others,2013,0,0.9679411764705883,0.5512002430872075,416.49708654295705,620.9346932352228
China Others,2014,0,0.8336111111111112,0.35021659446851044,538.6579380491202,637.6917506905429
China Others,2015,0,0.583111111111111,0.11204268292682927,625.7403040522361,626.0847314924467
China Others,2016,0,0.8369565217391305,0.18181818181818182,562.2139195262345,526.1823495711269
China Others,2017,0,0.946236559139785,0.2431818181818182,523.0624830203443,756.6289598528965
Chongqing,1992,0,1.0,1.0,987.505982760015,
Chongqing,1993,0,1.0,1.0,959.1938700091315,643.4263428857876
Chongqing,1994,0,1.0,1.0,841.3371092476353,710.6444034910924
Chongqing,1995,0,1.0,1.0,659.2490789967804,1003.1611059604347
Chongqing,1996,0,1.0,1.0,839.2436749351455,694.3183006954018
Chongqing,1997,0,1.0,1.0,906.3963774982449,686.8798854471715
Chongqing,1998,0,0.8013333333333333,1.0,820.28826929231,498.08672926585473
Chongqing,1999,0,0.3183333333333333,1.0,557.9950901626388,452.20109928406646
Chongqing,2000,0,0.7158333333333333,1.0,555.4588259029698,533.8081174976221
Chongqing,2001,0,0.35000000000000003,1.0,585.971062800398,398.2247760378723
Chongqing,2002,0,,,528.7539362675177,358.9698750922221
Chongqing,2003,0,,,437.7020239493989,303.6604734259495
Chongqing,2004,0,,,314.71018578087495,642.7808068011332
Chongqing,2005,0,,,605.9993462162437,702.623222632848
Chongqing,2006,0,,,654.0771892519688,1222.9212106889845
Chongqing,2007,0,,,400.97019232272004,1066.9176514175442
Chongqing,2008,0,1.0,1.0,289.6092544923923,870.8586548308886
Chongqing,2009,0,1.1099999999999999,1.0,484.40437246063215,733.937472228944
Chongqing,2010,0,0.1711111111111111,1.0,295.48463456469347,965.4771784642735
Chongqing,2011,0,0.23111111111111113,1.0,344.9625421973603,1184.76825799962
